TransName,Dx,Dy,Dz,Rx,Ry,Rz,Scale,Xm,Ym,Zm
GH 3 Parameters,-196.58,33.383,322.552,0,0,0,0,0,0,0
GH 7 Parameters,-158.635,32.174,326.783,0.0368,-0.00799,-0.0119,-7.6,0,0,0
GH 10 Parameters,-196.557,33.385,322.452,0.0368,-0.00799,-0.0119,-6,6339239.29,-120750.511,686012.361
Old Hawaiian To WGS 1984 Hawaii Mean,61,-285,-181,0,0,0,0,0,0,0
Old Hawaiian To WGS 1984 2,89,-279,-183,0,0,0,0,0,0,0
Old Hawaiian To WGS 1984 3,45,-290,-172,0,0,0,0,0,0,0
Old Hawaiian To WGS 1984 4,65,-290,-190,0,0,0,0,0,0,0
Old Hawaiian To WGS 1984 5,58,-283,-182,0,0,0,0,0,0,0
Jamaica 1969 To WGS 1984 1,-69,-207,-389,0,0,0,0,0,0,0
Tokyo To WGS 1984 2001,-147.54,507.26,680.47,0,0,0,0,0,0,0
JGD 2000 To WGS 1984,-1.126,-0.077,-0.037,0,0,0,0,0,0,0
Datum 73 To WGS 1984 1,-223.237,110.193,36.649,0,0,0,0,0,0,0
ED 1950 To WGS 1984 PT3,-86.277,-108.879,-120.181,0,0,0,0,0,0,0
Graciosa Base SW 1948 To WGS 1984 1,-106.226,166.366,-37.893,0,0,0,0,0,0,0
Datum Lisboa Bessel To WGS 1984 1,508.088,-191.042,565.223,0,0,0,0,0,0,0
Datum Lisboa Hayford To WGS 1984 1,-304.046,-60.576,103.64,0,0,0,0,0,0,0
Porto Santo 1936 To WGS 1984 1,-502.862,-247.438,312.724,0,0,0,0,0,0,0
Observ Meteorologico 1939 To WGS 1984 1,-422.651,-172.995,84.02,0,0,0,0,0,0,0
Sao Braz To WGS 1984 1,-204.619,140.176,55.226,0,0,0,0,0,0,0
Datum 73 To WGS 1984 2,-239.749,88.181,30.488,0.26,0.08,1.21,0.00000223,0,0,0
